age,monthly_income,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,product_availability_online,gender_encoded,city_tier_encoded,shopping_preference_encoded
23,205707,21,0,99870,77294,2,2,2,2
71,175131,37,14,75058,101241,5,2,0,2
59,203629,7,1,116877,85088,4,1,1,2
21,128457,23,7,60914,86637,2,1,1,2
71,67389,12,15,108663,12756,8,2,2,2
46,68014,12,15,100090,14593,7,0,0,2
35,178898,0,15,134009,122334,5,1,0,2
43,45297,40,19,133533,51599,10,2,1,2
61,58890,35,18,54175,15079,5,1,0,0
51,36322,31,1,89984,1755,7,1,0,1
27,50739,4,19,96448,40057,9,0,1,2
79,155791,48,13,88080,131816,5,1,1,2
53,94553,6,1,111721,12894,5,1,2,1
31,23314,49,18,12272,95966,1,0,0,2
48,108831,44,1,132569,27317,1,1,2,2
65,90164,31,17,90211,118307,4,0,0,2
32,122658,27,16,31685,132793,5,1,1,2
25,92028,32,18,65991,51025,2,1,2,2
31,51113,45,13,147375,78112,5,1,2,2
40,132174,13,16,130017,1691,1,1,1,1
77,161429,12,15,78190,20030,4,1,0,2
74,244937,28,18,127092,79753,3,2,1,2
79,35365,49,16,48155,140662,8,0,2,2
57,54029,39,11,141672,134032,4,1,1,2
38,16737,0,3,33852,33315,8,0,0,2
33,146042,46,7,5641,40673,2,1,1,2
62,220704,48,0,117780,144379,1,2,0,2
35,100474,48,13,87037,17572,1,0,0,2
64,93218,26,8,78000,97914,4,1,0,2
70,173571,29,17,133230,128907,4,0,0,2
41,143692,33,11,73094,91378,7,2,2,2
43,192229,45,1,37559,29767,2,1,2,2
42,202319,0,5,133247,126515,2,2,1,2
77,143411,33,4,20371,45220,2,2,1,2
77,187106,6,17,57614,75449,1,1,0,2
77,15294,0,13,63404,86376,3,1,0,2
62,244144,41,14,111401,132192,5,2,2,2
58,39596,17,12,20920,123720,2,1,2,2
46,113185,34,8,78438,14175,3,2,2,1
32,26434,49,18,52711,92060,7,1,0,2
62,73382,18,0,53242,76108,7,0,1,2
18,53098,12,7,124737,50307,7,1,1,2
42,19655,22,15,73916,25764,1,1,0,2
24,98029,1,6,83480,30866,7,2,0,2
26,61228,2,15,144764,70719,4,1,1,2
41,18771,21,12,100216,127455,7,1,2,2
18,89099,35,12,52391,51551,4,2,2,2
61,135811,48,19,113169,80385,6,0,1,2
25,202871,7,18,110255,83619,5,2,2,2
41,77257,22,10,59559,20771,3,2,2,2
28,32558,7,15,43151,80138,1,0,2,2
68,245540,24,8,50494,17187,5,1,1,2
34,73436,34,12,134725,106660,1,1,2,2
25,122779,46,18,145382,145371,4,2,0,2
52,139891,10,9,1164,86326,3,0,0,2
52,238175,40,6,80641,99481,3,0,1,2
50,47376,42,16,70398,58088,4,0,2,2
76,233530,5,9,113422,96655,9,0,1,2
22,92924,41,1,27127,117933,3,2,0,2
59,44332,41,17,52646,124644,7,2,2,2
56,146001,49,15,44124,33055,7,1,0,2
75,61737,44,2,118683,2722,7,2,2,1
58,145912,16,19,111162,97224,3,0,1,2
45,104031,35,0,75525,138233,4,1,0,2
24,220042,17,4,79855,23037,10,2,1,1
26,198024,32,0,33221,134171,9,0,2,2
25,35991,17,6,56962,128001,3,2,0,2
29,42472,6,17,121471,29468,6,1,0,2
51,74946,28,3,56598,8583,9,1,1,1
50,172921,4,8,25623,145703,10,1,2,2
65,16541,15,0,71397,57597,3,0,1,2
72,144237,30,0,121727,842,10,0,0,1
40,17765,4,5,136835,105188,9,2,2,2
79,58074,9,16,128495,141662,9,0,0,2
41,117795,28,15,94879,51247,5,0,0,2
54,175355,28,18,58775,134000,3,1,1,2
52,116387,15,3,116654,116434,2,0,2,2
61,246233,3,9,67473,30057,2,2,2,2
57,146841,0,15,56835,13305,5,1,1,2
39,163878,7,6,105572,99427,3,2,0,2
44,236590,27,1,50247,134415,7,0,0,2
52,17972,0,19,79356,124577,1,1,0,2
18,164328,27,6,29217,64748,6,0,0,2
52,118903,2,6,111992,56674,5,2,2,2
54,164725,49,4,6354,138194,4,2,1,2
64,118579,1,14,108233,68093,9,1,1,2
31,232741,24,18,13621,47737,8,2,1,2
20,54339,36,9,1133,120673,3,0,0,2
18,171829,10,4,83941,98631,6,0,0,2
22,118376,45,4,92077,116900,9,2,0,2
43,57399,17,17,85814,75100,5,0,1,2
72,59013,41,3,89406,99464,9,0,1,2
31,243677,38,13,17469,135555,2,0,2,2
56,160778,39,17,80296,3724,5,1,1,1
44,184303,19,8,104486,129118,2,1,0,2
26,42909,16,16,66464,42645,6,2,2,2
32,222703,6,11,132677,117563,3,1,2,2
32,203644,47,17,93610,94636,6,0,2,2
43,231951,16,15,27477,28490,7,0,0,2
59,209839,3,2,68687,146503,5,2,1,2
77,172541,35,18,92082,115759,6,0,0,2
30,147385,29,9,33951,109717,4,1,2,2
68,153919,0,19,102658,134419,6,0,1,2
49,196294,34,6,16239,51114,7,0,2,2
56,220774,11,0,81110,50960,9,1,1,2
66,156002,16,0,75652,135566,3,0,1,2
69,18285,15,14,110041,114112,3,1,2,2
78,138637,27,0,24638,5233,1,1,0,1
49,50863,31,8,56208,111844,5,2,2,2
21,162776,45,13,25831,119113,9,1,2,2
47,164777,34,12,122359,94010,6,1,2,2
54,146627,18,18,78537,23504,3,1,1,2
40,36323,28,15,41448,5103,10,1,0,0
56,85968,28,16,59910,41333,7,0,0,2
62,212994,15,8,116934,108180,9,0,2,2
32,68915,3,13,78818,96001,7,0,1,2
60,124543,20,2,21340,60841,2,2,1,2
46,156691,48,8,92800,93812,10,0,2,2
53,218462,43,19,72635,130427,1,0,1,2
30,123500,0,0,81535,118800,1,2,2,2
49,205346,18,4,59280,62788,3,0,2,2
24,219245,43,5,74441,127310,9,1,0,2
76,167297,25,19,116497,149024,1,1,0,2
68,126266,11,13,6513,147067,1,0,1,2
39,41739,16,9,148567,17768,9,2,1,0
45,193780,36,7,81143,72313,8,1,2,2
19,143041,27,14,107435,21414,9,0,0,2
59,68019,35,0,76716,101646,7,1,2,2
62,222226,28,15,58708,120987,2,2,1,2
79,248169,4,19,127600,97844,3,0,0,2
74,22373,37,6,22706,139268,5,2,1,2
70,181353,2,0,36095,50286,4,2,2,2
23,35187,14,4,13955,58226,9,2,2,2
45,82863,2,9,27183,83886,3,1,1,2
45,112927,12,4,40662,92543,6,0,1,2
61,99085,4,7,113980,75515,8,0,1,2
61,132996,20,5,105078,35686,5,1,0,2
37,54220,40,9,5799,132034,7,1,2,2
47,145503,22,13,25603,3961,6,0,2,1
79,22642,46,7,38875,61678,6,0,2,2
28,94971,21,5,74950,41811,9,2,1,2
75,70556,33,8,92094,143843,3,1,2,2
72,179832,40,14,129753,118814,1,1,2,2
45,53192,25,15,108193,19054,6,1,2,1
42,150453,46,0,22442,46972,4,1,2,2
56,242655,30,13,119240,140317,3,1,0,2
79,165630,34,19,93771,10528,4,2,0,2
50,45782,6,17,125421,82970,5,2,0,2
18,19782,39,6,114153,12853,4,0,1,1
74,237489,44,11,36109,53701,10,2,2,2
44,200784,31,9,113942,54960,3,2,2,2
79,241017,21,14,962,44697,2,2,1,2
74,165534,46,6,112514,147326,1,2,1,2
69,75030,5,4,60302,21238,4,1,2,2
30,214591,20,10,116539,35964,7,0,2,2
58,71411,44,2,44776,49248,2,0,2,2
20,201278,38,3,147586,50206,10,0,1,2
56,112469,48,10,4027,57290,6,0,0,2
23,61950,46,14,104183,52320,6,2,2,2
25,148595,36,14,982,48606,8,2,2,2
44,206998,26,16,12164,18010,9,1,0,0
26,155749,9,10,145935,8481,3,0,1,1
79,221900,21,5,145849,28906,10,2,0,2
54,161161,43,6,69625,5469,3,0,1,1
50,150653,17,10,129396,31393,6,2,1,2
68,157979,3,4,27190,16374,7,1,1,0
59,151681,44,0,146882,145372,7,1,2,2
61,197225,34,0,79943,102991,3,2,2,2
41,65539,37,12,140861,123191,8,0,0,2
32,190215,37,1,32321,78610,3,1,0,2
76,37936,35,17,80386,3081,9,1,0,1
71,65182,3,5,120141,54844,2,1,1,2
49,126259,44,13,48125,14994,7,1,0,1
49,245596,9,10,82395,100995,2,0,1,2
41,110042,31,4,146200,130326,2,0,2,2
58,28163,9,18,91020,115937,5,0,1,2
69,205830,42,12,52433,4713,4,2,0,1
66,192129,44,11,139176,10407,9,0,1,1
79,158609,9,8,35473,44498,2,0,0,2
66,37419,10,3,70062,137856,7,1,2,2
75,188650,49,5,20914,44239,2,2,2,2
69,221063,38,3,65878,123248,4,1,1,2
29,136211,8,0,15810,148452,6,2,0,2
79,137762,12,16,49874,96666,10,2,2,2
56,220671,41,16,13679,98350,9,0,1,2
19,15834,17,9,63462,38298,7,2,0,2
20,47214,46,17,89221,113210,5,0,0,2
66,239006,36,13,77681,23533,8,2,2,2
54,246100,46,2,129338,101580,9,0,2,2
66,17413,10,16,39862,92724,4,1,2,2
73,24505,27,3,13900,29601,3,2,2,2
34,117802,5,1,59074,14142,1,2,0,0
76,148177,32,14,3399,91077,6,2,1,2
66,214176,13,5,21065,35375,8,2,2,2
19,143303,46,8,60310,115971,1,1,1,2
19,129897,28,6,146190,86369,6,1,0,2
45,73408,38,9,71423,14801,4,0,1,1
71,183751,14,1,107367,119082,8,1,2,2
40,131908,47,19,16335,19980,10,0,0,2
54,245168,4,13,65723,107023,9,2,1,2
49,94731,21,5,32361,149899,8,1,1,2
50,80131,30,4,55491,68360,3,0,0,2
18,79280,18,4,10323,131300,5,1,2,2
36,30762,17,19,23313,89574,5,1,2,2
79,132798,5,11,132227,129406,1,0,2,2
19,131854,8,7,98450,54824,10,0,1,2
70,73703,29,6,108593,22508,3,0,0,2
61,227506,30,15,95427,14670,4,0,2,1
43,78079,34,17,132171,82563,1,2,2,2
49,36577,16,15,123410,85734,7,0,2,2
23,16214,41,18,949,10654,2,2,1,1
49,101339,15,9,21375,102722,3,0,0,2
72,63114,32,8,39527,130397,8,2,1,2
21,235306,3,5,135270,133405,6,0,1,2
72,78230,30,17,129153,94025,1,1,1,2
28,179052,32,2,60181,125388,1,2,0,2
73,82194,49,13,19169,1718,10,0,2,1
76,223878,35,4,83250,96785,2,2,0,2
34,127333,10,13,123457,36384,10,2,0,2
55,52792,3,17,44869,67174,6,2,2,2
41,60807,35,2,12822,73122,8,2,0,2
22,140266,4,6,86578,138436,1,0,0,2
69,168373,20,1,98628,149972,5,2,0,2
51,151213,12,5,15523,38080,4,2,0,2
23,119292,3,9,50378,92411,5,0,2,2
39,137984,41,18,131273,88620,2,0,2,2
28,28777,49,12,53668,5517,1,0,1,1
65,53346,34,10,55052,119353,3,0,0,2
33,69703,25,8,113363,42559,8,1,2,2
50,109977,25,16,117458,90960,10,2,2,2
26,62819,18,10,124952,42119,6,0,2,2
77,174541,36,12,11746,36512,3,2,1,2
76,149917,10,2,120594,119656,6,2,0,2
23,125186,1,9,94088,78459,6,2,0,2
33,38290,30,0,5882,94203,10,0,0,2
46,127551,17,4,149129,23999,1,2,1,1
20,176771,10,11,102903,60035,7,0,1,2
37,190324,43,6,104910,108530,8,2,0,2
77,113682,15,11,60390,140382,3,2,0,2
76,149365,1,6,63264,25816,4,0,0,2
53,133017,31,11,40403,69246,7,2,1,2
36,134496,47,3,146006,84201,10,2,1,2
43,72089,47,16,87228,106015,7,0,1,2
20,162680,21,15,86607,126075,6,0,2,2
36,143713,35,17,26601,99897,4,2,1,2
37,212345,7,1,86141,51823,3,2,2,2
49,31619,35,16,11109,112436,2,2,0,2
24,93006,42,9,143499,141660,4,2,1,2
69,233980,24,15,47819,93622,8,0,1,2
58,227725,39,6,32628,15809,1,2,2,0
50,29779,43,13,47960,99008,2,1,2,2
57,197112,30,19,81589,74759,2,1,0,2
56,240902,3,14,96291,88918,5,2,2,2
35,202397,38,9,84648,116199,2,0,1,2
57,36630,44,7,123641,125988,9,1,0,2
18,120575,42,1,146817,87526,1,1,2,2
28,130436,9,16,37098,147240,9,0,2,2
45,158250,26,8,72241,924,7,2,1,1
74,166007,40,8,140823,111294,10,1,0,2
42,193330,37,14,116750,79546,9,2,0,2
67,37784,16,12,22647,59711,7,2,1,2
40,209794,44,8,125179,140087,9,2,2,2
48,169099,37,3,14801,8970,5,2,2,1
47,242616,24,8,75470,120099,5,0,0,2
59,203925,16,8,45488,130223,10,1,1,2
52,127167,12,14,63903,59445,1,1,1,2
24,82359,20,10,136310,87242,5,1,0,2
77,218460,14,12,101540,124326,7,0,1,2
33,93608,47,16,56409,78185,8,0,0,2
43,222741,23,0,77002,139744,1,2,2,2
65,30111,6,2,118086,83304,2,0,2,2
74,178384,44,2,54060,143441,8,2,0,2
69,39161,37,14,110181,83802,3,2,1,2
77,133920,39,4,135582,18503,1,0,0,0
66,119823,21,3,81701,96067,9,1,2,2
19,140014,41,0,91426,1124,9,1,0,1
18,145466,9,3,51755,57042,8,2,0,2
65,82313,32,7,8836,39981,2,2,2,2
79,196446,11,6,81424,79757,4,1,0,2
29,170086,7,0,113195,17196,4,0,1,0
22,95308,39,4,34523,9632,4,2,1,1
54,61389,21,12,80291,51945,6,0,1,2
49,164233,38,11,15349,91360,5,0,2,2
76,122800,38,7,98068,140888,4,0,0,2
72,153562,46,16,20522,5129,7,2,0,1
26,134547,43,1,10514,84237,7,1,2,2
58,39502,15,17,30221,143012,8,0,0,2
52,50757,47,8,1247,79671,3,1,0,2
36,56111,33,8,93395,6905,3,0,1,1
65,113273,45,12,114468,106476,5,2,2,2
33,229317,15,17,132911,113334,4,0,1,2
20,73645,13,16,9509,68103,10,0,0,2
37,125218,5,6,41581,56047,2,1,0,2
41,74055,49,6,8367,132323,4,1,2,2
71,134815,9,18,35176,122212,4,0,1,2
73,155070,23,1,120994,52921,10,0,1,2
50,174978,26,15,45557,74867,10,1,2,2
41,116026,46,1,21995,91551,2,2,2,2
69,85192,49,14,73168,123916,9,0,0,2
28,196549,8,15,66342,21220,4,0,2,2
66,182973,47,15,124957,21378,9,1,1,2
25,237343,15,5,120077,106585,2,1,0,2
53,67021,1,10,5545,76174,10,2,1,2
55,44092,30,8,10813,72664,6,2,2,2
57,147314,46,17,52788,35085,4,0,0,2
37,121843,18,5,28343,80893,6,2,0,2
79,147903,10,3,106282,23990,9,1,2,1
52,65721,21,17,91379,81114,10,1,2,2
65,43511,28,1,54084,125392,2,0,0,2
79,87782,30,12,36654,115000,7,2,2,2
42,112003,7,0,19399,66542,10,1,0,2
52,164374,9,8,27674,49080,5,1,0,2
42,70568,5,13,72031,26643,3,1,1,2
46,149304,30,3,147473,36415,9,0,2,2
35,117062,34,3,116153,134234,8,1,1,2
63,119301,49,19,115320,114455,3,0,1,2
35,66507,39,14,133527,19626,2,2,0,2
19,139277,28,14,49534,85305,1,0,2,2
71,144999,20,12,5469,133727,10,0,1,2
52,222580,40,13,95114,18816,7,0,1,1
33,115128,4,0,60790,23205,2,1,2,2
78,25683,4,0,15333,63698,5,1,2,2
58,38664,23,0,78253,14589,4,2,2,1
53,117364,14,14,2079,102170,6,1,1,2
50,179244,27,0,111336,39258,1,0,1,2
21,229713,33,5,13388,141430,4,0,1,2
50,79340,12,6,142147,30182,10,1,2,2
31,102236,43,1,133715,28128,5,0,1,1
38,26017,31,8,7736,103203,8,0,0,2
65,51613,21,3,100349,29811,5,2,1,2
37,232202,28,17,69182,96909,5,2,2,2
73,222992,2,14,26063,125070,6,2,1,2
25,45348,4,7,86851,96574,3,1,2,2
24,162520,49,6,109712,64622,10,0,2,2
20,24491,10,7,66933,49756,9,1,1,2
34,224720,47,12,64585,116712,4,2,0,2
50,136070,40,2,60888,15455,8,2,1,1
65,242629,25,5,77154,113739,4,2,2,2
29,73759,8,6,1459,80060,1,1,0,2
76,190625,43,4,9848,64009,2,1,2,2
68,147040,10,17,139726,12254,8,0,2,1
39,15368,0,14,122150,42856,2,1,1,2
72,220032,37,1,79990,138614,6,0,2,2
39,50010,44,19,67283,103775,1,1,1,2
63,200226,27,9,136457,19917,10,0,2,1
47,50851,22,3,22221,112762,8,2,2,2
55,137761,30,11,105504,47758,10,0,2,2
55,171568,1,14,96648,44106,3,0,2,2
62,142152,17,10,95838,115400,3,2,0,2
68,177008,15,13,83706,11840,4,0,1,2
71,93858,41,6,75993,22163,1,1,0,1
25,82005,16,13,55134,91207,4,1,1,2
44,52493,47,7,56942,16092,6,0,0,1
44,215867,16,13,27422,88979,8,2,0,2
51,182462,46,5,27149,112424,7,1,2,2
38,25292,34,17,55103,39394,9,2,2,2
47,107377,30,13,49517,95068,6,2,0,2
50,174437,34,7,37104,38735,7,2,2,2
45,163279,23,3,70181,115263,8,2,2,2
64,116735,40,11,26986,131789,7,1,1,2
50,37912,36,4,41750,108484,5,1,1,2
22,248527,48,12,100151,62129,4,0,1,2
77,248589,29,18,27557,84349,1,2,1,2
78,95771,17,11,100405,115523,5,1,0,2
65,202644,26,17,34406,49347,2,0,1,2
36,122293,15,5,12987,58241,7,1,0,2
21,114083,19,5,30446,36710,10,1,2,2
52,128655,40,16,78492,142092,2,0,2,2
66,165348,46,15,121775,29876,6,1,0,2
34,112459,27,11,50963,87619,7,0,2,2
61,151606,20,4,49378,9044,7,0,0,1
45,238077,40,13,145990,142537,7,1,2,2
47,247682,44,15,138914,130018,8,2,2,2
46,181742,32,4,76497,88015,6,2,0,2
63,208219,47,7,33340,75941,2,0,0,2
70,244171,8,6,110725,126707,4,2,0,2
23,126695,23,12,99427,71285,10,2,2,2
52,182558,12,2,59664,27010,6,2,1,2
77,211629,29,13,114982,109599,2,1,1,2
58,49268,45,16,118417,81501,10,0,0,2
54,122338,42,6,45282,14099,8,2,1,0
41,227407,32,8,94254,27321,1,1,1,2
46,41336,45,9,34834,18452,7,1,2,1
66,18641,23,9,139492,20700,1,1,1,1
63,102132,19,12,76084,124021,4,0,2,2
70,47959,49,9,9734,13255,1,0,0,1
48,159378,0,5,40834,117094,8,1,1,2
52,192254,22,13,114999,96553,3,1,1,2
77,89123,32,4,56566,126605,10,1,1,2
50,202398,16,12,144030,41589,2,0,2,2
69,242967,1,7,71720,49236,10,2,1,2
78,36498,30,8,26937,56719,1,0,0,2
38,85198,30,19,90098,56834,10,1,1,2
49,248702,15,9,47200,66629,1,1,0,2
40,42197,36,0,110181,9178,10,2,1,1
50,166791,36,4,26108,77722,7,2,2,2
20,236273,6,19,87333,3007,4,0,1,0
35,123775,35,3,49064,147201,8,2,2,2
42,40032,0,0,5968,117308,8,1,1,2
59,74624,29,18,58785,74785,4,1,0,2
48,93177,17,18,111955,134939,9,0,0,2
71,56964,41,14,1259,24750,2,2,1,2
75,176100,38,10,133201,45325,10,2,2,2
20,126030,25,4,51535,58371,1,0,2,2
57,69646,10,2,138957,139125,8,2,0,2
63,96187,0,16,98885,70852,2,0,0,2
41,154608,37,15,88935,100402,2,1,0,2
67,132399,4,7,23494,142220,2,0,2,2
49,71747,21,19,72022,46518,5,2,2,2
64,60712,12,2,22587,43993,5,2,1,2
39,152345,16,11,136676,116566,4,1,0,2
40,86820,49,7,107854,93174,6,0,2,2
19,140342,6,14,29016,67214,9,0,1,2
44,106228,37,10,41629,46100,5,0,1,2
59,89353,6,12,105851,99656,6,0,1,2
19,240563,11,7,53421,136149,1,0,2,2
43,107091,37,12,79459,19723,5,0,1,0
34,100914,22,15,131795,145021,6,2,1,2
57,196902,47,17,142534,48783,1,1,2,2
50,121718,7,15,91095,45405,7,1,0,2
26,163199,14,12,8599,44450,4,0,1,2
60,229560,29,13,121859,34048,6,1,1,2
71,26539,8,7,109897,115262,5,1,1,2
65,192833,44,19,83409,51517,4,2,0,2
56,61219,20,1,46222,8464,5,1,2,1
46,160764,43,19,78901,117471,3,1,2,2
59,229728,13,7,73630,109505,9,2,2,2
72,28334,7,5,26250,99660,1,0,0,2
43,174687,46,12,77850,47738,9,1,2,2
52,22903,35,2,81756,143547,5,0,2,2
67,174599,8,6,88492,143192,7,2,2,2
42,161701,25,5,20130,81901,10,1,0,2
41,73008,19,4,71441,137536,7,1,1,2
30,229348,37,15,136767,31770,4,1,0,2
77,114318,5,2,114739,7055,10,2,1,1
75,172780,33,4,48431,36012,2,2,1,2
24,156932,22,2,5017,67513,1,1,1,2
74,163510,38,14,129456,84610,10,1,1,2
53,82300,32,1,36563,135382,7,0,1,2
62,144263,20,14,106533,59816,2,0,0,2
37,217617,40,12,98566,61682,2,2,1,2
18,35842,25,1,74040,138543,6,0,2,2
25,206285,4,17,57505,84021,5,0,1,2
63,57372,8,9,99122,68510,5,0,2,2
33,129316,44,3,55974,146709,2,1,1,2
31,113971,32,1,120531,117647,7,1,2,2
29,214978,24,19,23667,44280,8,0,0,2
68,53744,46,13,148981,52739,1,1,1,2
40,131082,16,2,2988,99097,4,1,2,2
32,72442,39,11,45705,111325,9,0,1,2
45,144070,46,4,132659,66646,10,0,1,2
51,100990,18,1,122948,9121,6,2,0,1
19,136670,10,13,97690,111775,1,0,1,2
49,121917,7,4,17482,98040,6,1,0,2
40,249975,5,6,44093,97953,5,1,2,2
39,18650,5,14,90032,106727,8,2,1,2
68,60117,7,18,144815,101098,6,0,0,2
42,106244,23,18,30641,76084,3,0,1,2
75,198844,18,16,144923,18704,6,2,0,2
79,18190,40,15,139415,34293,2,2,1,2
78,63113,26,7,145562,124210,4,0,0,2
39,154861,19,12,25194,130199,1,1,0,2
75,47125,23,10,126351,64665,2,1,2,2
75,244767,37,0,27115,136421,6,2,2,2
39,145000,4,17,66963,88139,4,1,1,2
66,163531,15,6,84258,84731,10,2,0,2
69,181490,38,19,14027,58383,8,0,1,2
59,126904,32,2,39304,23927,10,2,0,1
23,193157,9,19,137542,128409,8,0,2,2
32,33768,4,15,82579,42565,10,1,0,2
71,196033,18,3,51477,17843,5,2,1,2
60,96099,40,12,78759,7394,8,1,0,1
77,173957,20,0,21317,90476,4,0,1,2
54,102421,2,0,74494,22331,7,2,2,0
50,207154,27,11,54078,145330,6,1,1,2
25,21895,40,12,52549,103776,5,0,0,2
70,196383,18,6,119028,15254,5,0,0,0
77,235566,15,2,116252,8644,5,2,0,1
61,213139,1,3,4969,118038,3,2,0,2
61,86017,7,0,102852,66727,7,2,2,2
22,38932,45,17,95359,140677,3,1,2,2
56,36360,37,4,89268,12127,5,0,0,1
21,69847,11,19,14946,775,9,2,1,2
23,105365,23,10,82257,128098,6,0,2,2
62,100468,0,2,131274,134318,9,2,0,2
49,53931,17,17,122926,126775,7,2,0,2
69,70823,22,16,98363,53389,10,2,0,2
47,53032,38,13,31236,66304,4,0,1,2
64,227498,26,0,132729,99720,6,1,1,2
52,33807,43,16,101423,60370,5,1,1,2
72,157839,43,6,1835,87528,6,2,2,2
57,154143,5,15,49845,82401,7,0,0,2
69,68413,27,0,102770,86698,6,1,0,2
33,172221,22,14,114787,126790,2,2,2,2
30,30540,33,1,130711,30164,7,2,1,2
67,247284,24,1,57355,102666,7,2,1,2
77,85248,10,4,88521,22713,2,2,1,2
59,237809,47,3,130428,55309,1,1,0,2
47,125494,0,2,22189,13375,6,1,0,1
36,100435,37,7,68132,77413,3,0,2,2
34,34787,9,13,76501,149798,5,1,2,2
73,35982,8,5,128680,27469,2,1,0,0
36,37606,25,10,72102,91288,4,2,1,2
45,156222,9,4,116810,77788,5,1,0,2
75,232001,17,4,143972,93723,1,0,0,2
72,248867,49,13,92394,77582,7,1,1,2
43,127223,8,16,119501,38319,1,1,0,2
54,61936,44,18,19707,118883,6,2,2,2
43,108286,25,10,144353,134439,2,2,0,2
70,154665,41,6,1919,80552,10,0,1,2
79,163430,8,12,74836,107731,5,1,2,2
40,228215,35,18,26592,24262,9,1,1,2
